question 1 in English,"same question 1, but translated to Ukrainian",question 2 in English,"same question 2, but translated to Ukrainian"
What's a movie you rewatch often?,Який фільм ти часто передивляєшся?,What's a movie you could never watch again?,Який фільм ти ніколи б не подивився ще раз?
Favorite snack during a movie?,Улюблена закуска під час фільму?,A snack you hate during movies?,"Закуска, яку ти ненавидиш під час фільму?"
A dream travel destination?,Країна твоєї мрії для подорожі?,A country you'd avoid visiting?,"Країна, якої ти уникав би?"
What time would you wake up ideally?,О котрій ти б прокидався у ідеалі?,What time do you dread waking up?,О котрій ти ненавидиш прокидатися?
Your go-to comfort food?,Твоя улюблена їжа для втіхи?,Food you’d never eat again?,"Їжа, яку ти ніколи б не їв знову?"
A hobby you enjoy alone?,"Хобі, яким ти займаєшся наодинці?",A hobby you only enjoy with others?,"Хобі, яким ти займаєшся лише з іншими?"
A song that lifts your mood?,"Пісня, яка піднімає настрій?",A song that makes you cry?,"Пісня, від якої ти плачеш?"
Best gift you've ever received?,"Найкращий подарунок, який ти отримував?",Worst gift you’ve ever received?,"Найгірший подарунок, який ти отримував?"
A game you love playing?,"Гра, яку ти любиш грати?",A game you never understood?,"Гра, яку ти ніколи не розумів?"
A smell you love?,"Запах, який тобі подобається?",A smell you can’t stand?,"Запах, який ти ненавидиш?"
A name you like for a pet?,"Ім'я, яке тобі подобається для тварини?",A name you'd never use for a pet?,"Ім'я, яке ти ніколи не дав би тварині?"
What animal would you be?,Якою твариною ти хотів би бути?,What animal do you fear?,Якої тварини ти боїшся?
A color you wear often?,Який колір ти часто носиш?,A color you avoid wearing?,Якого кольору ти уникаєш у одязі?
A number you like?,"Цифра, яка тобі подобається?",A number that feels unlucky?,"Цифра, яка здається нещасливою?"
Your favorite day of the week?,Твій улюблений день тижня?,Your least favorite day of the week?,Твій найменш улюблений день тижня?
What’s a childhood toy you loved?,Улюблена іграшка з дитинства?,A toy you never liked?,"Іграшка, яка тобі не подобалась?"
A drink you always enjoy?,"Напій, який тобі завжди подобається?",A drink you refuse to try again?,"Напій, який ти більше не питимеш?"
What season suits you best?,Яка пора року тобі найбільше підходить?,What season do you dislike?,Яку пору року ти не любиш?
A dish you cook well?,Яку страву ти добре готуєш?,A dish you fail at cooking?,"Страва, яку ти не вмієш готувати?"
